基金代码,基金简称,类型,2023-05-30-单位净值,2023-05-30-累计净值,2023-05-29-单位净值,2023-05-29-累计净值,增长值,增长率,市价,折价率
562300,银华中证内地低碳经济主题ETF行情,指数型-股票,0.6998,0.6998,0.6997,0.6997,0.0001,0.01%,---,---
562310,银华沪深300成长ETF行情,指数型-股票,0.8481,0.8481,0.8465,0.8465,0.0016,0.19%,---,---
562320,银华沪深300价值ETF行情,指数型-股票,1.0291,1.0291,1.0274,1.0274,0.0017,0.17%,---,---
562330,银华中证500价值ETF行情,指数型-股票,0.9708,0.9708,0.9670,0.9670,0.0038,0.39%,---,---
562350,银华中证全指电力公用事业ETF行情,指数型-股票,1.0386,1.0386,1.0425,1.0425,-0.0039,-0.37%,---,---
562360,银华中证机器人ETF行情,指数型-股票,0.8858,0.8858,0.8728,0.8728,0.0130,1.49%,---,---
562390,银华中证中药ETF行情,指数型-股票,1.2544,1.2544,1.2588,1.2588,-0.0044,-0.35%,---,---
562500,华夏中证机器人ETF行情,指数型-股票,0.8010,0.8010,0.7892,0.7892,0.0118,1.50%,---,---
562510,华夏中证旅游主题ETF行情,指数型-股票,0.9050,0.9050,0.9044,0.9044,0.0006,0.07%,---,---
562520,华夏中证智选1000成长创新策略ETF行情,指数型-股票,1.0632,1.0632,1.0600,1.0600,0.0032,0.30%,---,---
562530,华夏中证智选1000价值稳健策略ETF行情,指数型-股票,1.0661,1.0661,1.0581,1.0581,0.0080,0.76%,---,---
562550,华夏中证绿色电力ETF行情,指数型-股票,1.0821,1.0821,1.0877,1.0877,-0.0056,-0.51%,---,---
562800,嘉实中证稀有金属主题ETF行情,指数型-股票,0.6042,0.6042,0.6058,0.6058,-0.0016,-0.26%,---,---
562860,嘉实中证疫苗与生物技术ETF行情,指数型-股票,0.8582,0.8582,0.8659,0.8659,-0.0077,-0.89%,---,---
562880,嘉实中证电池主题ETF行情,指数型-股票,0.6592,0.6592,0.6537,0.6537,0.0055,0.84%,---,---
562900,易方达中证现代农业主题ETF行情,指数型-股票,0.8049,0.8049,0.8095,0.8095,-0.0046,-0.57%,---,---
562910,易方达中证装备产业ETF行情,指数型-股票,0.7314,0.7314,0.7287,0.7287,0.0027,0.37%,---,---
562930,易方达中证软件服务ETF行情,指数型-股票,---,---,---,---,---,---,---,---
562950,易方达中证消费电子主题ETF行情,指数型-股票,0.7033,0.7033,0.6960,0.6960,0.0073,1.05%,---,---
562960,易方达中证绿色电力ETF行情,指数型-股票,1.0847,1.0847,1.0899,1.0899,-0.0052,-0.48%,---,---
562990,易方达中证上海环交所碳中和ETF行情,指数型-股票,0.7806,0.7806,0.7787,0.7787,0.0019,0.24%,---,---
563000,易方达MSCI中国A50互联互通ETF行情,指数型-股票,0.7554,0.7554,0.7565,0.7565,-0.0011,-0.15%,---,---
563030,易方达中证500增强策略ETF行情,指数型-股票,0.9636,0.9636,0.9587,0.9587,0.0049,0.51%,---,---
588000,华夏上证科创板50成份ETF行情,指数型-股票,1.0880,0.7556,1.0714,0.7441,0.0166,1.55%,1.0900,-0.18%
588010,博时上证科创板新材料ETF行情,指数型-股票,0.8065,0.8065,0.8116,0.8116,-0.0051,-0.63%,0.8060,0.06%
588050,工银上证科创50成份ETF行情,指数型-股票,1.0737,0.7482,1.0576,0.7370,0.0161,1.52%,1.0750,-0.12%
588060,广发上证科创板50成份ETF行情,指数型-股票,0.6659,0.6659,0.6557,0.6557,0.0102,1.56%,0.6670,-0.17%
588080,易方达上证科创板50成份ETF行情,指数型-股票,1.0678,0.7481,1.0514,0.7366,0.0164,1.56%,1.0690,-0.11%
588090,华泰柏瑞上证科创板50成份ETF行情,指数型-股票,1.0792,0.7536,1.0626,0.7420,0.0166,1.56%,1.0800,-0.07%
588100,嘉实上证科创板新一代信息技术ETF行情,指数型-股票,1.2286,1.2286,1.2068,1.2068,0.0218,1.81%,1.2290,-0.03%
588150,南方上证科创板50ETF行情,指数型-股票,0.7343,0.7343,0.7231,0.7231,0.0112,1.55%,0.7360,-0.23%
588160,南方上证科创板新材料ETF行情,指数型-股票,0.8102,0.8102,0.8155,0.8155,-0.0053,-0.65%,0.8090,0.15%
588180,国联安上证科创板50成份ETF行情,指数型-股票,0.6733,0.6733,0.6632,0.6632,0.0101,1.52%,0.6720,0.19%
588200,嘉实上证科创板芯片ETF行情,指数型-股票,1.3680,1.3680,1.3528,1.3528,0.0152,1.12%,1.3680,0.00%
588260,华安上证科创板新一代信息技术ETF行情,指数型-股票,1.2272,1.2272,1.2058,1.2058,0.0214,1.77%,1.2270,0.02%
588280,华安上证科创板50ETF行情,指数型-股票,0.7546,0.7546,0.7431,0.7431,0.0115,1.55%,0.7550,-0.05%
588290,华安上证科创板芯片ETF行情,指数型-股票,1.3395,1.3395,1.3248,1.3248,0.0147,1.11%,1.3410,-0.11%
588300,招商中证科创创业50ETF行情,指数型-股票,0.5896,0.5896,0.5856,0.5856,0.0040,0.68%,0.5890,0.10%
588310,方正富邦科创创业50ETF行情,指数型-股票,0.6554,0.6554,0.6510,0.6510,0.0044,0.68%,0.6530,0.37%
588320,广发中证科创创业50增强策略ETF行情,指数型-股票,0.9197,0.9197,0.9131,0.9131,0.0066,0.72%,0.9150,0.51%
588330,华宝双创龙头ETF行情,指数型-股票,0.5839,0.5839,0.5799,0.5799,0.0040,0.69%,0.5850,-0.19%
588350,鹏扬中证科创创业50ETF行情,指数型-股票,0.8925,0.8925,0.8863,0.8863,0.0062,0.70%,0.8920,0.06%
588360,国泰中证科创创业50ETF行情,指数型-股票,0.6133,0.6133,0.6090,0.6090,0.0043,0.71%,0.6130,0.05%
588370,南方上证科创板50成份增强策略ETF行情,指数型-股票,1.0264,1.0264,1.0123,1.0123,0.0141,1.39%,1.0280,-0.16%
588380,富国中证科创创业50ETF行情,指数型-股票,0.5897,0.5897,0.5856,0.5856,0.0041,0.70%,0.5880,0.29%
588390,博时中证科创创业50ETF行情,指数型-股票,0.6362,0.6362,0.6319,0.6319,0.0043,0.68%,0.6360,0.03%
588400,嘉实中证科创创业50ETF行情,指数型-股票,0.5863,0.5863,0.5823,0.5823,0.0040,0.69%,0.5860,0.05%
588460,鹏华上证科创板50成份增强策略ETF行情,指数型-股票,1.0643,1.0643,1.0502,1.0502,0.0141,1.34%,1.0640,0.03%
