date,increase_cnt,decrease_cnt,increase_rate
1992-06-19,16,14,1.1428571428571428
1992-06-22,6,24,0.25
1992-06-23,16,14,1.1428571428571428
1992-06-24,6,24,0.25
1992-06-25,23,8,2.875
1992-06-26,29,2,14.5
1992-06-29,26,5,5.2
1992-06-30,28,3,9.333333333333334
1992-07-01,8,23,0.34782608695652173
1992-07-02,11,20,0.55
1992-07-03,27,4,6.75
1992-07-06,8,23,0.34782608695652173
1992-07-07,22,8,2.75
1992-07-08,13,17,0.7647058823529411
1992-07-09,3,27,0.1111111111111111
1992-07-10,9,21,0.42857142857142855
1992-07-13,21,9,2.3333333333333335
1992-07-14,14,16,0.875
1992-07-15,9,21,0.42857142857142855
1992-07-16,25,5,5.0
1992-07-17,25,5,5.0
1992-07-20,18,12,1.5
1992-07-21,2,28,0.07142857142857142
1992-07-22,10,20,0.5
1992-07-23,20,10,2.0
1992-07-24,28,3,9.333333333333334
1992-07-27,30,1,30.0
1992-07-28,1,30,0.03333333333333333
1992-07-29,12,19,0.631578947368421
1992-07-30,14,17,0.8235294117647058
1992-07-31,9,22,0.4090909090909091
1992-08-03,2,29,0.06896551724137931
1992-08-04,27,4,6.75
1992-08-05,13,19,0.6842105263157895
1992-08-06,2,30,0.06666666666666667
1992-08-07,22,11,2.0
1992-08-10,17,16,1.0625
1992-08-11,0,33,0.0
1992-08-12,9,24,0.375
1992-08-13,16,17,0.9411764705882353
1992-08-14,33,1,33.0
1992-08-17,34,0,inf
1992-08-18,5,29,0.1724137931034483
1992-08-19,20,14,1.4285714285714286
1992-08-20,7,28,0.25
1992-08-21,2,33,0.06060606060606061
1992-08-24,0,35,0.0
1992-08-25,0,35,0.0
1992-08-26,35,0,inf
1992-08-27,10,25,0.4
1992-08-28,11,25,0.44
1992-08-31,0,36,0.0
1992-09-01,15,21,0.7142857142857143
1992-09-02,10,27,0.37037037037037035
1992-09-03,3,34,0.08823529411764706
1992-09-04,3,34,0.08823529411764706
1992-09-07,0,37,0.0
1992-09-08,17,20,0.85
1992-09-09,24,13,1.8461538461538463
1992-09-10,33,5,6.6
1992-09-11,30,8,3.75
1992-09-14,1,37,0.02702702702702703
1992-09-15,20,18,1.1111111111111112
1992-09-16,30,8,3.75
1992-09-17,22,16,1.375
1992-09-18,2,36,0.05555555555555555
1992-09-21,1,37,0.02702702702702703
1992-09-22,0,38,0.0
1992-09-23,18,20,0.9
1992-09-24,38,0,inf
1992-09-25,17,21,0.8095238095238095
